"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-CHK-002..004 — Empty field rejection.","137","TC-CHK-003: Empty last-name field is rejected on checkout","tests","Wed Jun 10 20:38:14 CST 2026","passed","Wed Jun 10 20:38:14 CST 2026","","test_checkout","",""
"TC-INV-004 — Each sort criterion returns correct first item.","94","TC-INV-004: Products sort correctly for each sort criterion","tests","Wed Jun 10 20:42:02 CST 2026","passed","Wed Jun 10 20:42:02 CST 2026","","test_inventory","",""
"TC-INV-001..003 — Product listing, data integrity, images.","247","TC-INV-003: Every product tile has a visible image with valid src","tests","Wed Jun 10 20:40:51 CST 2026","passed","Wed Jun 10 20:40:51 CST 2026","","test_inventory","",""
"TC-LOGIN-006 — Static GUI check (not parametrized — no interaction).","18843","TC-LOGIN-006: Login page renders all required form elements on initial load","tests","Wed Jun 10 20:46:55 CST 2026","passed","Wed Jun 10 20:47:14 CST 2026","","test_login","",""
"TC-INV-005 — Price (low to high) is numerically correct.","41","TC-INV-005: Price (low to high) sort must be numerically correct","tests","Wed Jun 10 20:42:28 CST 2026","passed","Wed Jun 10 20:42:28 CST 2026","","test_inventory","",""
"
Data-driven login test.

Each JSON entry drives one test case.  The *tc* dict carries
id, title, story, severity, tags, username, password, and
optionally expected_error (for negative cases).
","31696","TC-LOGIN-005: Locked-out user is denied access","tests","Wed Jun 10 20:46:18 CST 2026","passed","Wed Jun 10 20:46:50 CST 2026","","test_login","",""
"
Data-driven login test.

Each JSON entry drives one test case.  The *tc* dict carries
id, title, story, severity, tags, username, password, and
optionally expected_error (for negative cases).
","19652","TC-LOGIN-001: Valid credentials grant access to the product inventory","tests","Wed Jun 10 20:44:28 CST 2026","passed","Wed Jun 10 20:44:47 CST 2026","","test_login","",""
"
Data-driven login test.

Each JSON entry drives one test case.  The *tc* dict carries
id, title, story, severity, tags, username, password, and
optionally expected_error (for negative cases).
","15809","TC-LOGIN-003: Empty username triggers 'Username is required' error","tests","Wed Jun 10 20:45:19 CST 2026","passed","Wed Jun 10 20:45:35 CST 2026","","test_login","",""
"DDT-driven cart tests: display, removal, empty, button.","12259","TC-CART-002: Removing an item decrements count and removes from list","tests","Wed Jun 10 20:32:28 CST 2026","passed","Wed Jun 10 20:32:41 CST 2026","","test_cart","",""
"TC-CHK-001 — Full purchase flow.","257","TC-CHK-001: Customer completes a purchase from cart to confirmation","tests","Wed Jun 10 20:37:19 CST 2026","passed","Wed Jun 10 20:37:19 CST 2026","","test_checkout","",""
