"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with valid credentials should redirect to inventory.","2990","TC-LOGIN-001: Valid Credentials Grant Access","","2026-06-17","passed","2026-06-17","Login","Tests","",""
"","2929","TC-LOGIN-004: Empty Password Is Rejected","","2026-06-17","passed","2026-06-17","Login","Tests","",""
"Badge count should increase with each added item.","13092","TC-INV-007: Cart Badge Increments As Items Are Added","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"","3168","TC-CHK-002: Empty First Name Rejected On Checkout","","2026-06-17","passed","2026-06-17","Checkout","Tests","",""
"","2959","TC-LOGIN-002: Wrong Password Is Rejected","","2026-06-17","passed","2026-06-17","Login","Tests","",""
"Cancel button returns to cart page without side effects.","3083","TC-CHK-005: Cancel On Checkout Returns To Cart","","2026-06-17","passed","2026-06-17","Checkout","Tests","",""
"Prices must be in non-decreasing order.","13191","TC-INV-005: Price Low-To-High Sort Is Numerically Correct","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"Badge should not appear when no items added.","23123","TC-INV-006: Cart Badge Is Hidden When Cart Is Empty","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"","2952","TC-LOGIN-003: Empty Username Is Rejected","","2026-06-17","passed","2026-06-17","Login","Tests","",""
"","3186","TC-CHK-003: Empty Last Name Rejected On Checkout","","2026-06-17","passed","2026-06-17","Checkout","Tests","",""
"Checkout button should be present when cart has items.","13092","TC-CART-005: Checkout Button Is Visible And Enabled","","2026-06-17","passed","2026-06-17","Cart","Tests","",""
"After login, inventory page shows 6 products with Products title.","13056","TC-INV-001: Inventory Displays Exactly 6 Products After Login","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"Full E2E purchase flow: cart → checkout → finish → confirmation.","3294","TC-CHK-001: Complete Purchase From Cart To Confirmation","","2026-06-17","passed","2026-06-17","Checkout","Tests","",""
"Cart page should display all items added from inventory.","14461","TC-CART-001: Items Added From Inventory Appear In Cart","","2026-06-17","passed","2026-06-17","Cart","Tests","",""
"Cart badge persists across page navigation.","13119","TC-CART-003: Cart Badge Survives Navigation Away And Back","","2026-06-17","passed","2026-06-17","Cart","Tests","",""
"All form controls must be visible on initial load.","2787","TC-LOGIN-006: Login Page Renders Required Elements","","2026-06-17","passed","2026-06-17","Login","Tests","",""
"Adding then removing the same item returns badge to 0.","23114","TC-INV-008: Add Then Remove Resets Cart Badge To Zero","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"Navigating to cart without adding items shows empty cart.","23115","TC-CART-004: Empty Cart Shows Zero Items","","2026-06-17","passed","2026-06-17","Cart","Tests","",""
"Removing one item from cart updates count and listing.","13157","TC-CART-002: Removing An Item Decrements Count And Removes From List","","2026-06-17","passed","2026-06-17","Cart","Tests","",""
"Each sort option should return correct first product.","13463","TC-INV-004: Products Sort Correctly By Each Criterion","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"","2970","TC-LOGIN-005: Locked-Out User Is Denied","","2026-06-17","passed","2026-06-17","Login","Tests","",""
"","3188","TC-CHK-004: Empty Postal Code Rejected On Checkout","","2026-06-17","passed","2026-06-17","Checkout","Tests","",""
"Each product tile image must be visible with valid src.","14609","TC-INV-003: Every Product Image Has Valid Source","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
"Each product tile must have name and price > $0.","13089","TC-INV-002: Every Product Has Non-Empty Name And Positive Price","","2026-06-17","passed","2026-06-17","Inventory","Tests","",""
